Origem,Destino,Peso,Emparelhado
1,21,380,Não
21,18,165,Não
18,17,225,Não
17,21,280,Não
21,20,150,Não
20,19,155,Não
19,16,375,Não
16,21,380,Não
21,14,280,Não
14,19,525,Não
19,13,485,Não
13,21,345,Não
21,11,240,Não
11,20,100,Não
20,10,150,Não
10,21,185,Não
21,15,105,Não
15,18,190,Não
18,16,545,Não
16,15,475,Não
15,14,170,Não
14,16,650,Não
16,17,485,Não
17,13,400,Não
13,16,715,Não
16,9,230,Não
9,19,600,Não
19,8,240,Não
8,21,370,Não
21,12,310,Não
12,14,585,Não
14,13,190,Não
13,12,545,Não
12,18,380,Não
18,11,310,Não
11,14,515,Não
14,10,285,Não
10,13,250,Não
13,11,480,Não
11,10,240,Não
10,18,77,Não
18,5,660,Não
5,19,495,Sim
19,7,220,Não
7,20,205,Não
20,3,590,Sim
3,20,590,Sim
20,4,140,Não
4,21,280,Não
21,2,140,Sim
2,21,140,Sim
21,6,340,Não
6,16,125,Não
16,7,200,Não
7,11,160,Não
11,12,90,Não
12,15,415,Não
15,9,600,Não
9,14,775,Não
14,8,645,Não
8,13,610,Não
13,5,835,Não
5,19,495,Sim
19,1,170,Não
1,20,240,Não
20,2,290,Não
2,18,270,Não
18,1,450,Não
1,16,265,Não
16,4,235,Não
4,11,63,Não
11,9,535,Não
9,10,625,Não
10,7,350,Não
7,12,48,Não
12,6,91,Sim
6,12,91,Sim
12,8,67,Não
8,15,465,Não
15,1,480,Não
1,17,255,Não
17,3,755,Não
3,13,705,Não
13,1,610,Não
1,14,655,Não
14,2,235,Não
2,11,380,Não
11,5,430,Não
5,12,320,Não
12,1,68,Não
1,11,155,Não
11,6,200,Não
6,8,36,Não
8,7,29,Não
7,5,320,Não
5,8,285,Não
8,1,130,Não
1,9,490,Não
9,3,295,Não
3,10,700,Não
10,4,280,Não
4,7,78,Sim
7,6,96,Não
6,5,240,Não
5,4,350,Não
4,7,78,Sim
7,1,110,Não
1,10,370,Não
10,2,320,Não
2,6,475,Não
6,1,155,Não
1,5,385,Não
5,3,390,Não
3,4,605,Não
4,1,91,Não
1,3,635,Não
3,2,355,Não
2,1,510,Não
