Grafo completo (dirigido) com n=10 vertices
Formato: u -> [(v, peso), ...]
============================================================
0 -> [(1, 6.7548), (2, 1.2251), (3, 3.4753), (4, 3.0089), (5, 7.6282), (6, 7.0903), (7, 9.0296), (8, 1.7824), (9, 4.7973)]
1 -> [(0, 1.2682), (2, 2.9677), (3, 5.5482), (4, 1.2388), (5, 2.7895), (6, 6.8490), (7, 5.9045), (8, 2.9840), (9, 6.3034)]
2 -> [(0, 8.2849), (1, 1.0585), (3, 8.2524), (4, 7.2833), (5, 4.0623), (6, 2.3993), (7, 9.6149), (8, 4.0294), (9, 1.8347)]
3 -> [(0, 1.8704), (1, 8.6274), (2, 6.4335), (4, 8.2642), (5, 7.5676), (6, 5.8261), (7, 9.7580), (8, 4.4068), (9, 5.9684)]
4 -> [(0, 8.4646), (1, 6.5667), (2, 8.7554), (3, 6.1962), (5, 7.3411), (6, 1.4124), (7, 3.0511), (8, 3.6045), (9, 1.7181)]
5 -> [(0, 3.0951), (1, 1.9090), (2, 3.5018), (3, 6.7212), (4, 4.2835), (6, 4.3316), (7, 2.8856), (8, 3.4028), (9, 9.4299)]
6 -> [(0, 6.8323), (1, 6.4822), (2, 2.5402), (3, 7.5621), (4, 2.4706), (5, 4.4151), (7, 9.9057), (8, 6.7600), (9, 6.0125)]
7 -> [(0, 7.1615), (1, 8.5857), (2, 7.9840), (3, 3.0614), (4, 1.2889), (5, 3.8391), (6, 3.4097), (8, 2.8988), (9, 9.4862)]
8 -> [(0, 8.8873), (1, 3.8321), (2, 6.8989), (3, 4.5607), (4, 9.2309), (5, 5.1297), (6, 3.3839), (7, 3.2196), (9, 6.0523)]
9 -> [(0, 3.3647), (1, 6.2613), (2, 9.0804), (3, 4.5946), (4, 2.9739), (5, 9.9778), (6, 5.5857), (7, 1.8182), (8, 1.4240)]
