Grafo com 10 vértices
Formato: u -> [(v, peso), ...]
============================================================

0 -> [(1, 6.75), (2, 1.23), (3, 3.48), (4, 3.01), (5, 7.63), (6, 7.09), (7, 9.03), (8, 1.78), (9, 4.80)]
1 -> [(0, 1.27), (2, 2.97), (3, 5.55), (4, 1.24), (5, 2.79), (6, 6.85), (7, 5.90), (8, 2.98), (9, 6.30)]
2 -> [(0, 8.28), (1, 1.06), (3, 8.25), (4, 7.28), (5, 4.06), (6, 2.40), (7, 9.61), (8, 4.03), (9, 1.83)]
3 -> [(0, 1.87), (1, 8.63), (2, 6.43), (4, 8.26), (5, 7.57), (6, 5.83), (7, 9.76), (8, 4.41), (9, 5.97)]
4 -> [(0, 8.46), (1, 6.57), (2, 8.76), (3, 6.20), (5, 7.34), (6, 1.41), (7, 3.05), (8, 3.60), (9, 1.72)]
5 -> [(0, 3.10), (1, 1.91), (2, 3.50), (3, 6.72), (4, 4.28), (6, 4.33), (7, 2.89), (8, 3.40), (9, 9.43)]
6 -> [(0, 6.83), (1, 6.48), (2, 2.54), (3, 7.56), (4, 2.47), (5, 4.42), (7, 9.91), (8, 6.76), (9, 6.01)]
7 -> [(0, 7.16), (1, 8.59), (2, 7.98), (3, 3.06), (4, 1.29), (5, 3.84), (6, 3.41), (8, 2.90), (9, 9.49)]
8 -> [(0, 8.89), (1, 3.83), (2, 6.90), (3, 4.56), (4, 9.23), (5, 5.13), (6, 3.38), (7, 3.22), (9, 6.05)]
9 -> [(0, 3.36), (1, 6.26), (2, 9.08), (3, 4.59), (4, 2.97), (5, 9.98), (6, 5.59), (7, 1.82), (8, 1.42)]
